District Code,SchoolCode,FAFSA SchoolName,ERDC SchoolTTL,FAFSA District,ERDC DistrictTTL,Horizons Partner,District,School,Students,Unmatched,Errors,NoSignature,Completed,School District Name,Year,Percent
17401,1539,CHOICE Academy,CHOICE Academy,Highline School District,Highline,Puget Sound ESD,Highline School District,CHOICE Academy,23,11,0,0,12,Highline School District,2021-22,0.521
18400,5546,Choice Academy,Choice Alternative School,North Kitsap School District,North Kitsap,West Sound STEM,North Kitsap School District,Choice Academy,10,0,0,0,5,North Kitsap School District,2018-19,0.509
17401,1539,CHOICE Academy,CHOICE Academy,Highline School District,Highline,Puget Sound ESD,Highline School District,CHOICE Academy,10,0,0,0,5,Highline School District,2019-20,0.52
17401,1539,CHOICE Academy,CHOICE Academy,Highline School District,Highline,Puget Sound ESD,Highline School District,CHOICE Academy,12,12,0,0,0,Highline School District,2015-16,0
17401,1539,CHOICE Academy,CHOICE Academy,Highline School District,Highline,Puget Sound ESD,Highline School District,CHOICE Academy,12,0,0,0,12,Highline School District,2022-23,1
17401,1539,CHOICE Academy,CHOICE Academy,Highline School District,Highline,Puget Sound ESD,Highline School District,CHOICE Academy,0,0,0,0,0,Highline School District,2014-15,0
18400,5546,Choice Academy,Choice Alternative School,North Kitsap School District,North Kitsap,West Sound STEM,North Kitsap School District,Choice Academy,0,0,0,0,0,North Kitsap School District,2022-23,0
05401,3422,Clallam Bay High & Elementary,Clallam Bay High School/Elementary,Cape Flattery School District,Cape Flattery,West Sound STEM,Cape Flattery School District,Clallam Bay High & Elementary,10,0,0,0,6,Cape Flattery School District,2019-20,0.56
05401,3422,Clallam Bay High & Elementary,Clallam Bay High School/Elementary,Cape Flattery School District,Cape Flattery,West Sound STEM,Cape Flattery School District,Clallam Bay High & Elementary,10,0,0,0,7,Cape Flattery School District,2021-22,0.727
05401,3422,Clallam Bay High & Elementary,Clallam Bay High School/Elementary,Cape Flattery School District,Cape Flattery,West Sound STEM,Cape Flattery School District,Clallam Bay High & Elementary,10,0,0,0,7,Cape Flattery School District,2017-18,0.667
