SchoolYear|DistrictCode|DistrictName|FinalCohort|Graduate|CohortYearTTL|Horizons.Partner|DistrictTTL|PSEnrollLevel|Pct|Cohort Enrollment Rate|SchoolTTL|PSOrganizationTTL|Enrollees
2016-17|05401|Cape Flattery School District|35|32.095|2016|West Sound STEM|Cape Flattery|4 Year|0.1|0.14672|District Wide|WWU|0.51352
2017-18|05401|Cape Flattery School District|38|34.998|2017|West Sound STEM|Cape Flattery|2 Year / CTC|0.05|0.3684|District Wide|Bellevue|0.69996
2017-18|05401|Cape Flattery School District|38|34.998|2017|West Sound STEM|Cape Flattery|2 Year / CTC|0.05|0.3684|District Wide|Edmonds|0.69996
2017-18|05401|Cape Flattery School District|38|34.998|2017|West Sound STEM|Cape Flattery|4 Year|0.05|0.28551|District Wide|EWU|0.542469
2017-18|05401|Cape Flattery School District|38|34.998|2017|West Sound STEM|Cape Flattery|2 Year / CTC|0.27|0.3684|District Wide|Other 2Yr/CTC|3.779784
2017-18|05401|Cape Flattery School District|38|34.998|2017|West Sound STEM|Cape Flattery|4 Year|0.05|0.28551|District Wide|Other 4Yr|0.542469
2017-18|05401|Cape Flattery School District|38|34.998|2017|West Sound STEM|Cape Flattery|2 Year / CTC|0.13|0.3684|District Wide|Peninsula|1.819896
2017-18|05401|Cape Flattery School District|38|34.998|2017|West Sound STEM|Cape Flattery|2 Year / CTC|0.05|0.3684|District Wide|Private/OOS - 2Yr/CTC|0.69996
2017-18|05401|Cape Flattery School District|38|34.998|2017|West Sound STEM|Cape Flattery|4 Year|0.27|0.28551|District Wide|Private/OOS - 4Yr|2.9293326
2017-18|05401|Cape Flattery School District|38|34.998|2017|West Sound STEM|Cape Flattery|2 Year / CTC|0.05|0.3684|District Wide|Shoreline|0.69996
2017-18|05401|Cape Flattery School District|38|34.998|2017|West Sound STEM|Cape Flattery|4 Year|0.2|0.28551|District Wide|UW|2.169876
2017-18|05401|Cape Flattery School District|38|34.998|2017|West Sound STEM|Cape Flattery|4 Year|0.05|0.28551|District Wide|WSU|0.542469
2017-18|05401|Cape Flattery School District|38|34.998|2017|West Sound STEM|Cape Flattery|4 Year|0.05|0.28551|District Wide|WWU|0.542469
2018-19|05401|Cape Flattery School District|33|29.7|2018|West Sound STEM|Cape Flattery|2 Year / CTC|0.05|0.297|District Wide|Bellevue|0.49005
2018-19|05401|Cape Flattery School District|33|29.7|2018|West Sound STEM|Cape Flattery|2 Year / CTC|0.05|0.297|District Wide|Edmonds|0.49005
2018-19|05401|Cape Flattery School District|33|29.7|2018|West Sound STEM|Cape Flattery|4 Year|0.05|0.171|District Wide|EWU|0.28215
2018-19|05401|Cape Flattery School District|33|29.7|2018|West Sound STEM|Cape Flattery|2 Year / CTC|0.05|0.297|District Wide|Other 2Yr/CTC|0.49005
2018-19|05401|Cape Flattery School District|33|29.7|2018|West Sound STEM|Cape Flattery|4 Year|0.05|0.171|District Wide|Other 4Yr|0.28215
2018-19|05401|Cape Flattery School District|33|29.7|2018|West Sound STEM|Cape Flattery|2 Year / CTC|0.62|0.297|District Wide|Peninsula|6.07662
2018-19|05401|Cape Flattery School District|33|29.7|2018|West Sound STEM|Cape Flattery|2 Year / CTC|0.05|0.297|District Wide|Private/OOS - 2Yr/CTC|0.49005
2018-19|05401|Cape Flattery School District|33|29.7|2018|West Sound STEM|Cape Flattery|4 Year|0.05|0.171|District Wide|Private/OOS - 4Yr|0.28215
2018-19|05401|Cape Flattery School District|33|29.7|2018|West Sound STEM|Cape Flattery|2 Year / CTC|0.05|0.297|District Wide|Shoreline|0.49005
2018-19|05401|Cape Flattery School District|33|29.7|2018|West Sound STEM|Cape Flattery|4 Year|0.15|0.171|District Wide|UW|0.84645
2018-19|05401|Cape Flattery School District|33|29.7|2018|West Sound STEM|Cape Flattery|4 Year|0.05|0.171|District Wide|WSU|0.28215
2018-19|05401|Cape Flattery School District|33|29.7|2018|West Sound STEM|Cape Flattery|4 Year|0.05|0.171|District Wide|WWU|0.28215
2019-20|05401|Cape Flattery School District|27|24.462|2019|West Sound STEM|Cape Flattery|2 Year / CTC|0.1|0.20838|District Wide|Bellevue|0.562626
2019-20|05401|Cape Flattery School District|27|24.462|2019|West Sound STEM|Cape Flattery|2 Year / CTC|0.1|0.20838|District Wide|Edmonds|0.562626
2019-20|05401|Cape Flattery School District|27|24.462|2019|West Sound STEM|Cape Flattery|4 Year|0.1|0.20838|District Wide|EWU|0.562626
2019-20|05401|Cape Flattery School District|27|24.462|2019|West Sound STEM|Cape Flattery|2 Year / CTC|0.1|0.20838|District Wide|Other 2Yr/CTC|0.562626
2019-20|05401|Cape Flattery School District|27|24.462|2019|West Sound STEM|Cape Flattery|4 Year|0.1|0.20838|District Wide|Other 4Yr|0.562626
2019-20|05401|Cape Flattery School District|27|24.462|2019|West Sound STEM|Cape Flattery|2 Year / CTC|0.36|0.20838|District Wide|Peninsula|2.0254536
2019-20|05401|Cape Flattery School District|27|24.462|2019|West Sound STEM|Cape Flattery|2 Year / CTC|0.1|0.20838|District Wide|Private/OOS - 2Yr/CTC|0.562626
2019-20|05401|Cape Flattery School District|27|24.462|2019|West Sound STEM|Cape Flattery|4 Year|0.29|0.20838|District Wide|Private/OOS - 4Yr|1.6316154
2019-20|05401|Cape Flattery School District|27|24.462|2019|West Sound STEM|Cape Flattery|2 Year / CTC|0.1|0.20838|District Wide|Shoreline|0.562626
2019-20|05401|Cape Flattery School District|27|24.462|2019|West Sound STEM|Cape Flattery|4 Year|0.1|0.20838|District Wide|UW|0.562626
2019-20|05401|Cape Flattery School District|27|24.462|2019|West Sound STEM|Cape Flattery|4 Year|0.1|0.20838|District Wide|WSU|0.562626
2019-20|05401|Cape Flattery School District|27|24.462|2019|West Sound STEM|Cape Flattery|4 Year|0.1|0.20838|District Wide|WWU|0.562626
2020-21|05401|Cape Flattery School District|44|38.72|2020|West Sound STEM|Cape Flattery|2 Year / CTC|0.1|0.176|District Wide|Bellevue|0.7744
2020-21|05401|Cape Flattery School District|44|38.72|2020|West Sound STEM|Cape Flattery|2 Year / CTC|0.1|0.176|District Wide|Edmonds|0.7744
2020-21|05401|Cape Flattery School District|44|38.72|2020|West Sound STEM|Cape Flattery|4 Year|0.1|0.176|District Wide|EWU|0.7744
2020-21|05401|Cape Flattery School District|44|38.72|2020|West Sound STEM|Cape Flattery|2 Year / CTC|0.1|0.176|District Wide|Other 2Yr/CTC|0.7744
2020-21|05401|Cape Flattery School District|44|38.72|2020|West Sound STEM|Cape Flattery|4 Year|0.1|0.176|District Wide|Other 4Yr|0.7744
2020-21|05401|Cape Flattery School District|44|38.72|2020|West Sound STEM|Cape Flattery|2 Year / CTC|0.4|0.176|District Wide|Peninsula|3.0976
2020-21|05401|Cape Flattery School District|44|38.72|2020|West Sound STEM|Cape Flattery|2 Year / CTC|0.1|0.176|District Wide|Private/OOS - 2Yr/CTC|0.7744
2020-21|05401|Cape Flattery School District|44|38.72|2020|West Sound STEM|Cape Flattery|4 Year|0.1|0.176|District Wide|Private/OOS - 4Yr|0.7744
2020-21|05401|Cape Flattery School District|44|38.72|2020|West Sound STEM|Cape Flattery|2 Year / CTC|0.1|0.176|District Wide|Shoreline|0.7744
